 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53.0,239059.0,2.0,2.0,112.0,322.0,56.0,56.0,56.0,0.0,184.0,138.0,161.0,32.5269119346,1815.4514157593,16.732271113,79686.3333333333,109554.598362339,205038.0,200.5,34021.0,34021.0,0.0,34021.0,121.0,161092.5,31393.000000000004,0.0,91912.5,10.0,0.0,0,0,0,52.0,52.0,8.3661355565,8.3661355565,56.0,184.0,98.0,59.7662111899,3572.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,122.5,56.0,161.0,52.0,0,0,0,0,0,0,2.0,112.0,2.0,322.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.0,892406.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312182199,218047.5000000001,0.0,513975.0,200.5,654836.0,102621.0,0.0,265051.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,64.0,0.0,0.0312182199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,64.0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,20481.5,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53.0,892406.0,6.0,2.0,264.0,230.0,44.0,44.0,44.0,0.0,115.0,115.0,115.0,0.0,344.5976299496,5.5805284202,204793.714285714,135587.95486463752,513975.0,1.0,654836.0,102621.0,52770.93873525475,265051.0,1.0,4.0,4.0,0.0,4.0,4.0,0.0,0,0,0,168.0,64.0,4.1853963152,1.3951321051,44.0,115.0,59.7777777778,31.3080571809,980.1944444444,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,67.25,44.0,115.0,168.0,0,0,0,0,0,0,6.0,264.0,2.0,230.0,-1.0,-1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53.0,30563.0,1.0,1.0,50.0,128.0,50.0,50.0,50.0,0.0,128.0,128.0,128.0,0.0,5824.0355985996,65.4386022315,30563.0,0.0,30563.0,200.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,20.0,32.7193011157,32.7193011157,50.0,128.0,76.0,45.0333209968,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,114.0,50.0,128.0,20.0,0,0,0,0,0,0,1.0,50.0,1.0,128.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53.0,193.0,2.0,2.0,96.0,180.0,48.0,48.0,48.0,0.0,90.0,90.0,90.0,0.0,591730.6277486444,20725.3886010363,64.3333333333,70.9248428503,142.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,10.0,0.0,0,0,0,64.0,64.0,10362.6943005181,10362.6943005181,48.0,90.0,64.8,23.0043474152,529.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,81.0,48.0,90.0,64.0,0,0,0,0,0,0,2.0,96.0,2.0,180.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1028.0,50827.0,4.0,1.0,24.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,590.2374722097,98.3729120349,12706.75,25389.5039517645,50791.0,1.0,50827.0,16942.3333333333,29341.5180475267,50823.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,80.0,20.0,78.698329628,19.674582407,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,7.2,6.0,6.0,80.0,0,0,0,0,0,0,4.0,24.0,1.0,6.0,456.0,631.5,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443.0,892406.0,7.0,6.0,440.5,980.0,198.5,0.0,53.56,65.40737725975,530.0,0.0,333.25,45.7905734065,68.8700505266,0.387200434,218047.5000000001,135587.95486463752,513975.0,3.0,654836.0,102621.0,52770.93873525475,265051.0,3.0,161092.5,31393.000000000004,1187.9393923935,91912.5,10.0,0.0,0,0,0,210.0,170.0,0.2151113522,0.1720890818,0.0,616.0,174.0,276.34064594280005,31354.33333333325,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,177.8666666667,53.56,333.25,210.0,0,0,0,0,0,0,7.0,440.5,6.0,980.0,20481.5,631.5,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1028.0,249847.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0073484973,124923.5,135587.95486463752,249823.0,24.0,249847.0,102621.0,0.0,249847.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,64.0,32.0,8.0048989982,4.0024494991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,64.0,0,0,0,0,0,0,2.0,0.0,1.0,0.0,65.0,410.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1028.0,77.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,155844.155844156,25974.025974026,77.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,20.0,12987.012987013,12018.850403259,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,9.0,6.0,6.0,20.0,0,0,0,0,0,0,1.0,6.0,1.0,6.0,64.0,256.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53.0,215.0,2.0,2.0,56.0,568.0,28.0,28.0,28.0,0.0,284.0,235.0,284.0,0.0,591730.6277486444,18604.6511627907,71.6666666667,118.0691887553,208.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0,0,0,64.0,64.0,9302.3255813954,9302.3255813954,28.0,284.0,130.4,140.2169747213,19660.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,163.0,28.0,284.0,64.0,0,0,0,0,0,0,2.0,56.0,2.0,568.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443.0,428809.0,7.0,6.0,440.5,980.0,198.5,0.0,62.3846153846,65.40737725975,530.0,0.0,410.0,45.7905734065,15843.883873706,48.9728527153,21440.45,37586.5668703944,101779.0,1.0,428809.0,35734.0833333333,43892.7594162664,101857.0,1.0,161092.5,31393.000000000004,1187.9393923935,91912.5,10.0,0.0,0,0,0,210.0,170.0,30.3165278714,18.6563248439,0.0,616.0,239.33333333325,276.34064594280005,31354.33333333325,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,302.75,62.3846153846,410.0,210.0,0,0,0,0,0,0,7.0,440.5,6.0,980.0,20481.5,114.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53.0,31126.0,2.0,2.0,108.0,270.0,54.0,54.0,54.0,0.0,135.0,135.0,135.0,0.0,12144.1881385337,128.5099273919,10375.3333333333,17887.466040033,31030.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,10.0,0.0,0,0,0,80.0,64.0,64.2549636959,64.2549636959,54.0,135.0,86.4,44.3655271579,1968.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,108.0,54.0,135.0,80.0,0,0,0,0,0,0,2.0,108.0,2.0,270.0,-1.0,-1.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1028.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52881.22316698365,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,64.0,0.0,27457.769067615947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,64.0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,181.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.0,314815.0,2.0,0.0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,38.1176246367,6.3529374394,218047.5000000001,0.0,314815.0,200.5,314815.0,102621.0,0.0,265051.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40.0,0.0,6.3529374394,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,9.0,6.0,0.0,40.0,0,0,0,0,0,0,2.0,12.0,0.0,0.0,256.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53.0,30514.0,1.0,1.0,58.0,186.0,58.0,58.0,58.0,0.0,186.0,186.0,186.0,0.0,7996.3295536475,65.543684866,30514.0,0.0,30514.0,200.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,44.0,32.0,32.771842433,32.771842433,58.0,186.0,100.6666666667,73.9008344563,5461.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,151.0,58.0,186.0,44.0,0,0,0,0,0,0,1.0,58.0,1.0,186.0,-1.0,-1.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
8080.0,82027.0,4.0,3.0,207.0,134.0,195.0,0.0,51.75,95.54187564,128.0,0.0,44.66666667,72.23111056,4157.167762,85.33775464,13671.16667,32478.91356,79966.0,33.0,82027.0,27342.33333,46741.9539,81314.0,33.0,80761.0,40380.5,55982.35097,79966.0,795.0,0.0,0,0,0,92.0,72.0,48.76443122,36.57332342,0.0,195.0,42.625,75.57576615,5711.696429,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,48.71428571,51.75,44.66666667,92.0,0,0,0,0,0,0,4.0,207.0,3.0,134.0,8192.0,237.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080.0,997270.0,3.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,18.04927452,6.01642484,199454.0,272381.5247,498825.0,377.0,996674.0,498337.0,1223.294731,499202.0,497472.0,996637.0,498318.5,1559.170453,499421.0,497216.0,0.0,0,0,0,92.0,60.0,3.00821242,3.00821242,0.0,6.0,2.571428571,3.207134903,10.28571429,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,3.0,0.0,6.0,92.0,0,0,0,0,0,0,3.0,0.0,3.0,18.0,8192.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080.0,171.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,70175.4386,11695.90643,171.0,0.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,20.0,5847.953216,5847.953216,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1.0,9.0,6.0,6.0,20.0,0,0,0,0,0,0,1.0,6.0,1.0,6.0,1164.0,256.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080.0,1060848.0,3.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,16.96755803,5.655852676,212169.6,289766.0883,530822.0,420.0,1060254.0,530127.0,1576.848122,531242.0,529012.0,1060196.0,530098.0,1863.933475,531416.0,528780.0,0.0,0,0,0,92.0,60.0,2.827926338,2.827926338,0.0,6.0,2.571428571,3.207134903,10.28571429,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,3.0,0.0,6.0,92.0,0,0,0,0,0,0,3.0,0.0,3.0,18.0,8192.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080.0,52.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,230769.2308,38461.53846,52.0,0.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,20.0,19230.76923,19230.76923,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1.0,9.0,6.0,6.0,20.0,0,0,0,0,0,0,1.0,6.0,1.0,6.0,237.0,256.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080.0,997356.0,3.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,18.04771817,6.015906056,199471.2,272198.5193,498503.0,614.0,996609.0,498304.5,1266.428245,499200.0,497409.0,996742.0,498371.0,1243.093721,499250.0,497492.0,0.0,0,0,0,92.0,60.0,3.007953028,3.007953028,0.0,6.0,2.571428571,3.207134903,10.28571429,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,3.0,0.0,6.0,92.0,0,0,0,0,0,0,3.0,0.0,3.0,18.0,8192.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080.0,11.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,681790.9843855087,104157.595136079,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,20.0,52078.7975555395,52078.7975555395,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1.0,9.0,6.0,6.0,20.0,0,0,0,0,0,0,1.0,6.0,1.0,6.0,237.0,640.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080.0,33.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,363636.3636,60606.06061,33.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,20.0,30303.0303,30303.0303,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1.0,9.0,6.0,6.0,20.0,0,0,0,0,0,0,1.0,6.0,1.0,6.0,237.0,256.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080.0,1015739.0,3.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,17.7210878,5.907029266,203147.8,277470.2291,513283.0,393.0,1015346.0,507673.0,8707.312904,513830.0,501516.0,1015066.0,507533.0,8687.513914,513676.0,501390.0,0.0,0,0,0,92.0,60.0,2.953514633,2.953514633,0.0,6.0,2.571428571,3.207134903,10.28571429,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,3.0,0.0,6.0,92.0,0,0,0,0,0,0,3.0,0.0,3.0,18.0,8192.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
